xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.0001,0.5,24.2565,16.8773
0.0001,-0.1,0.0001,1,32.7848,22.8519
0.0001,-0.1,0.0001,1.5,37.532,26.1587
0.0001,-0.1,0.0001,2,40.8053,28.4319
0.0001,-0.1,0.0001,2.5,43.3002,30.1609
0.0001,-0.1,0.0001,3,45.3165,31.5559
0.0001,-0.1,0.0001,4,48.4597,33.727
0.0001,-0.1,0.0001,5,50.8673,35.3871
0.0001,-0.1,0.0001,7.5,55.1746,38.3511
0.0001,-0.1,0.0001,10,58.1858,40.4188
0.0001,-0.1,0.00010283,0.5,24.6549,17.1665
0.0001,-0.1,0.00010283,1,33.2831,23.2111
0.0001,-0.1,0.00010283,1.5,38.0815,26.5533
0.0001,-0.1,0.00010283,2,41.3885,28.8495
0.0001,-0.1,0.00010283,2.5,43.9083,30.5953
0.0001,-0.1,0.00010283,3,45.9442,32.0036
0.0001,-0.1,0.00010283,4,49.1172,34.1947
0.0001,-0.1,0.00010283,5,51.5471,35.8696
0.0001,-0.1,0.00010283,7.5,55.8929,38.8591
0.0001,-0.1,0.00010283,10,58.9301,40.9439
0.0001,-0.1,0.000105741,0.5,24.5118,17.0729
0.0001,-0.1,0.000105741,1,33.0699,23.0684
0.0001,-0.1,0.000105741,1.5,37.8271,26.3816
0.0001,-0.1,0.000105741,2,41.105,28.6574
0.0001,-0.1,0.000105741,2.5,43.6021,30.3873
0.0001,-0.1,0.000105741,3,45.6195,31.7827
0.0001,-0.1,0.000105741,4,48.7633,33.9533
0.0001,-0.1,0.000105741,5,51.1704,35.6123
0.0001,-0.1,0.000105741,7.5,55.475,38.5728
0.0001,-0.1,0.000105741,10,58.4829,40.6372
0.0001,-0.1,0.000108734,0.5,24.3693,16.9796
0.0001,-0.1,0.000108734,1,32.8578,22.9263
0.0001,-0.1,0.000108734,1.5,37.574,26.2108
0.0001,-0.1,0.000108734,2,40.8229,28.4662
0.0001,-0.1,0.000108734,2.5,43.2976,30.1804
0.0001,-0.1,0.000108734,3,45.2966,31.5629
0.0001,-0.1,0.000108734,4,48.4113,33.7131
0.0001,-0.1,0.000108734,5,50.7959,35.3563
0.0001,-0.1,0.000108734,7.5,55.0595,38.2882
0.0001,-0.1,0.000108734,10,58.0384,40.3322
0.0001,-0.1,0.000111811,0.5,24.2274,16.8866
0.0001,-0.1,0.000111811,1,32.6467,22.7848
0.0001,-0.1,0.000111811,1.5,37.3224,26.0409
0.0001,-0.1,0.000111811,2,40.5425,28.2761
0.0001,-0.1,0.000111811,2.5,42.9949,29.9746
0.0001,-0.1,0.000111811,3,44.9756,31.3443
0.0001,-0.1,0.000111811,4,48.0615,33.4743
0.0001,-0.1,0.000111811,5,50.4237,35.1018
0.0001,-0.1,0.000111811,7.5,54.6466,38.0052
0.0001,-0.1,0.000111811,10,57.5967,40.029
0.0001,-0.1,0.000114976,0.5,24.0862,16.7941
0.0001,-0.1,0.000114976,1,32.4367,22.644
0.0001,-0.1,0.000114976,1.5,37.072,25.8717
0.0001,-0.1,0.000114976,2,40.2635,28.0868
0.0001,-0.1,0.000114976,2.5,42.6937,29.7699
0.0001,-0.1,0.000114976,3,44.6563,31.1268
0.0001,-0.1,0.000114976,4,47.7135,33.2367
0.0001,-0.1,0.000114976,5,50.0535,34.8486
0.0001,-0.1,0.000114976,7.5,54.2361,37.7238
0.0001,-0.1,0.000114976,10,57.1575,39.7276
0.0001,-0.1,0.00011823,0.5,23.9456,16.7019
0.0001,-0.1,0.00011823,1,32.2278,22.5039
0.0001,-0.1,0.00011823,1.5,36.8229,25.7034
0.0001,-0.1,0.00011823,2,39.9861,27.8986
0.0001,-0.1,0.00011823,2.5,42.3943,29.5662
0.0001,-0.1,0.00011823,3,44.3388,30.9105
0.0001,-0.1,0.00011823,4,47.3676,33.0005
0.0001,-0.1,0.00011823,5,49.6855,34.5969
0.0001,-0.1,0.00011823,7.5,53.8281,37.444
0.0001,-0.1,0.00011823,10,56.7211,39.4279
0.0001,-0.1,0.000121576,0.5,23.8057,16.6101
0.0001,-0.1,0.000121576,1,32.0199,22.3644
0.0001,-0.1,0.000121576,1.5,36.5752,25.536
0.0001,-0.1,0.000121576,2,39.7101,27.7114
0.0001,-0.1,0.000121576,2.5,42.0965,29.3636
0.0001,-0.1,0.000121576,3,44.0232,30.6953
0.0001,-0.1,0.000121576,4,47.0237,32.7655
0.0001,-0.1,0.000121576,5,49.3197,34.3466
0.0001,-0.1,0.000121576,7.5,53.4225,37.1658
0.0001,-0.1,0.000121576,10,56.2874,39.1299
0.0001,-0.1,0.000125017,0.5,23.6664,16.5187
0.0001,-0.1,0.000125017,1,31.8131,22.2256
0.0001,-0.1,0.000125017,1.5,36.3287,25.3693
0.0001,-0.1,0.000125017,2,39.4357,27.525
0.0001,-0.1,0.000125017,2.5,41.8003,29.162
0.0001,-0.1,0.000125017,3,43.7093,30.4813
0.0001,-0.1,0.000125017,4,46.6818,32.5318
0.0001,-0.1,0.000125017,5,48.9561,34.0977
0.0001,-0.1,0.000125017,7.5,53.0194,36.8892
0.0001,-0.1,0.000125017,10,55.8562,38.8337
0.0001,-0.1,0.000128556,0.5,23.5277,16.4276
0.0001,-0.1,0.000128556,1,31.6073,22.0874
0.0001,-0.1,0.000128556,1.5,36.0836,25.2035
0.0001,-0.1,0.000128556,2,39.1627,27.3397
0.0001,-0.1,0.000128556,2.5,41.5058,28.9615
0.0001,-0.1,0.000128556,3,43.3971,30.2684
0.0001,-0.1,0.000128556,4,46.3418,32.2994
0.0001,-0.1,0.000128556,5,48.5945,33.8501
0.0001,-0.1,0.000128556,7.5,52.6187,36.6142
0.0001,-0.1,0.000128556,10,55.4277,38.5393
0.0001,-0.1,0.000132194,0.5,23.3897,16.337
