xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000128556,0.5,15.2576,-28.7862
0.0001,-0.1,0.000128556,1,20.8918,-38.988
0.0001,-0.1,0.000128556,1.5,24.0164,-44.5944
0.0001,-0.1,0.000128556,2,26.1635,-48.4284
0.0001,-0.1,0.000128556,2.5,27.7956,-51.3339
0.0001,-0.1,0.000128556,3,29.1111,-53.6702
0.0001,-0.1,0.000128556,4,31.1554,-57.2918
0.0001,-0.1,0.000128556,5,32.7155,-60.0485
0.0001,-0.1,0.000128556,7.5,35.4948,-64.9454
0.0001,-0.1,0.000128556,10,37.4261,-68.3378
0.0001,-0.1,0.000169943,0.5,14.4647,-27.275
0.0001,-0.1,0.000169943,1,19.6726,-36.6768
0.0001,-0.1,0.000169943,1.5,22.5456,-41.8146
0.0001,-0.1,0.000169943,2,24.5141,-45.3179
0.0001,-0.1,0.000169943,2.5,26.0079,-47.9675
0.0001,-0.1,0.000169943,3,27.2103,-50.0951
0.0001,-0.1,0.000169943,4,29.0759,-53.3879
0.0001,-0.1,0.000169943,5,30.4975,-55.8903
0.0001,-0.1,0.000169943,7.5,33.0258,-60.3274
0.0001,-0.1,0.000169943,10,34.7795,-63.3954
0.0001,-0.1,0.000224655,0.5,13.7033,-25.8238
0.0001,-0.1,0.000224655,1,18.5087,-34.4708
0.0001,-0.1,0.000224655,1.5,21.1452,-39.1687
0.0001,-0.1,0.000224655,2,22.9465,-42.3623
0.0001,-0.1,0.000224655,2.5,24.3109,-44.773
0.0001,-0.1,0.000224655,3,25.4074,-46.7057
0.0001,-0.1,0.000224655,4,27.1064,-49.6921
0.0001,-0.1,0.000224655,5,28.399,-51.9579
0.0001,-0.1,0.000224655,7.5,30.6937,-55.9678
0.0001,-0.1,0.000224655,10,32.2824,-58.735
0.0001,-0.1,0.00029698,0.5,12.9725,-24.4307
0.0001,-0.1,0.00029698,1,17.3982,-32.3661
0.0001,-0.1,0.00029698,1.5,19.8126,-36.6516
0.0001,-0.1,0.00029698,2,21.4574,-39.5557
0.0001,-0.1,0.00029698,2.5,22.7007,-41.7432
0.0001,-0.1,0.00029698,3,23.6986,-43.4944
0.0001,-0.1,0.00029698,4,25.2422,-46.1956
0.0001,-0.1,0.00029698,5,26.4146,-48.2415
0.0001,-0.1,0.00029698,7.5,28.4923,-51.8551
0.0001,-0.1,0.00029698,10,29.9279,-54.3438
0.0001,-0.1,0.00039259,0.5,12.2714,-23.0939
0.0001,-0.1,0.00039259,1,16.3392,-30.3592
0.0001,-0.1,0.00039259,1.5,18.5454,-34.2583
0.0001,-0.1,0.00039259,2,20.0438,-36.8919
0.0001,-0.1,0.00039259,2.5,21.1741,-38.8715
0.0001,-0.1,0.00039259,3,22.0799,-40.4536
0.0001,-0.1,0.00039259,4,23.4788,-42.8898
0.0001,-0.1,0.00039259,5,24.5396,-44.7316
0.0001,-0.1,0.00039259,7.5,26.4158,-47.9781
0.0001,-0.1,0.00039259,10,27.7096,-50.2092
0.0001,-0.1,0.000518981,0.5,11.5991,-21.8118
0.0001,-0.1,0.000518981,1,15.3298,-28.4463
0.0001,-0.1,0.000518981,1.5,17.3409,-31.9839
0.0001,-0.1,0.000518981,2,18.7025,-34.3653
0.0001,-0.1,0.000518981,2.5,19.7275,-36.1512
0.0001,-0.1,0.000518981,3,20.5476,-37.5761
0.0001,-0.1,0.000518981,4,21.812,-39.7662
0.0001,-0.1,0.000518981,5,22.7691,-41.4189
0.0001,-0.1,0.000518981,7.5,24.4584,-44.3257
0.0001,-0.1,0.000518981,10,25.6211,-46.3189
0.0001,-0.1,0.000686062,0.5,10.9548,-20.5826
0.0001,-0.1,0.000686062,1,14.3682,-26.6242
0.0001,-0.1,0.000686062,1.5,16.1969,-29.8239
0.0001,-0.1,0.000686062,2,17.4308,-31.9702
0.0001,-0.1,0.000686062,2.5,18.3577,-33.5759
0.0001,-0.1,0.000686062,3,19.0981,-34.8549
0.0001,-0.1,0.000686062,4,20.2375,-36.8169
0.0001,-0.1,0.000686062,5,21.0984,-38.2946
0.0001,-0.1,0.000686062,7.5,22.6149,-40.8876
0.0001,-0.1,0.000686062,10,23.6562,-42.6615
0.0001,-0.1,0.000906934,0.5,10.3375,-19.4048
0.0001,-0.1,0.000906934,1,13.4529,-24.8894
0.0001,-0.1,0.000906934,1.5,15.1109,-27.7736
0.0001,-0.1,0.000906934,2,16.2259,-29.7011
0.0001,-0.1,0.000906934,2.5,17.0614,-31.1396
0.0001,-0.1,0.000906934,3,17.7277,-32.2832
0.0001,-0.1,0.000906934,4,18.7513,-34.034
0.0001,-0.1,0.000906934,5,19.5232,-35.3499
0.0001,-0.1,0.000906934,7.5,20.8798,-37.6536
0.0001,-0.1,0.000906934,10,21.8093,-39.2257
0.0001,-0.1,0.00119891,0.5,9.74669,-18.2766
0.0001,-0.1,0.00119891,1,12.5821,-23.2387
0.0001,-0.1,0.00119891,1.5,14.0808,-25.8287
0.0001,-0.1,0.00119891,2,15.085,-27.5528
0.0001,-0.1,0.00119891,2.5,15.8357,-28.8361
0.0001,-0.1,0.00119891,3,16.4333,-29.8544
0.0001,-0.1,0.00119891,4,17.3495,-31.41
0.0001,-0.1,0.00119891,5,18.039,-32.5766
0.0001,-0.1,0.00119891,7.5,19.2481,-34.6139
0.0001,-0.1,0.00119891,10,20.0746,-36.0004
0.0001,-0.1,0.00158489,0.5,9.18148,-17.1966
0.0001,-0.1,0.00158489,1,11.7542,-21.6687
0.0001,-0.1,0.00158489,1.5,13.1043,-23.9847
0.0001,-0.1,0.00158489,2,14.0055,-25.52
0.0001,-0.1,0.00158489,2.5,14.6775,-26.6596
0.0001,-0.1,0.00158489,3,15.2115,-27.562
0.0001,-0.1,0.00158489,4,16.0284,-28.9375
0.0001,-0.1,0.00158489,5,16.6419,-29.9666
0.0001,-0.1,0.00158489,7.5,17.715,-31.7589
0.0001,-0.1,0.00158489,10,18.4467,-32.9754
0.0001,-0.1,0.00209514,0.5,8.64119,-16.1632
0.0001,-0.1,0.00209514,1,10.9678,-20.1764
0.0001,-0.1,0.00209514,1.5,12.1794,-22.2374
0.0001,-0.1,0.00209514,2,12.985,-23.5977
0.0001,-0.1,0.00209514,2.5,13.5841,-24.6044
0.0001,-0.1,0.00209514,3,14.0591,-25.3998
0.0001,-0.1,0.00209514,4,14.7843,-26.6093
0.0001,-0.1,0.00209514,5,15.3277,-27.512
0.0001,-0.1,0.00209514,7.5,16.2757,-29.0795
0.0001,-0.1,0.00209514,10,16.9204,-30.1402
0.0001,-0.1,0.00276965,0.5,8.12514,-15.1747
0.0001,-0.1,0.00276965,1,10.2212,-18.7585
0.0001,-0.1,0.00276965,1.5,11.304,-20.5826
0.0001,-0.1,0.00276965,2,12.0209,-21.7809
0.0001,-0.1,0.00276965,2.5,12.5525,-22.6648
0.0001,-0.1,0.00276965,3,12.9731,-23.3616
0.0001,-0.1,0.00276965,4,13.6137,-24.4183
0.0001,-0.1,0.00276965,5,14.0925,-25.2049
0.0001,-0.1,0.00276965,7.5,14.9257,-26.5665
0.0001,-0.1,0.00276965,10,15.4905,-27.4849
0.0001,-0.1,0.00366131,0.5,7.63267,-14.2297
0.0001,-0.1,0.00366131,1,9.51303,-17.4118
0.0001,-0.1,0.00366131,1.5,10.4761,-19.016
0.0001,-0.1,0.00366131,2,11.1108,-20.0644
0.0001,-0.1,0.00366131,2.5,11.58,-20.8352
0.0001,-0.1,0.00366131,3,11.9504,-21.4411
0.0001,-0.1,0.00366131,4,12.5131,-22.3576
0.0001,-0.1,0.00366131,5,12.9327,-23.0377
0.0001,-0.1,0.00366131,7.5,13.6604,-24.2111
0.0001,-0.1,0.00366131,10,14.1523,-24.9998
0.0001,-0.1,0.00484003,0.5,7.16314,-13.3263
0.0001,-0.1,0.00484003,1,8.84185,-16.133
0.0001,-0.1,0.00484003,1.5,9.69376,-17.5333
0.0001,-0.1,0.00484003,2,10.2524,-18.4433
0.0001,-0.1,0.00484003,2.5,10.664,-19.1098
0.0001,-0.1,0.00484003,3,10.9881,-19.6323
0.0001,-0.1,0.00484003,4,11.4792,-20.4201
0.0001,-0.1,0.00484003,5,11.8443,-21.0028
0.0001,-0.1,0.00484003,7.5,12.4756,-22.0045
0.0001,-0.1,0.00484003,10,12.9008,-22.6751
0.0001,-0.1,0.00639824,0.5,6.71591,-12.4627
0.0001,-0.1,0.00639824,1,8.20618,-14.9187
0.0001,-0.1,0.00639824,1.5,8.9549,-16.13
0.0001,-0.1,0.00639824,2,9.44323,-16.9123
0.0001,-0.1,0.00639824,2.5,9.80175,-17.4829
0.0001,-0.1,0.00639824,3,10.0833,-17.9288
0.0001,-0.1,0.00639824,4,10.5086,-18.5988
0.0001,-0.1,0.00639824,5,10.8238,-19.0926
0.0001,-0.1,0.00639824,7.5,11.3669,-19.9379
0.0001,-0.1,0.00639824,10,11.7313,-20.5013
0.0001,-0.1,0.0084581,0.5,6.29029,-11.6369
0.0001,-0.1,0.0084581,1,7.6045,-13.7651
0.0001,-0.1,0.0084581,1.5,8.25753,-14.8013
0.0001,-0.1,0.0084581,2,8.68093,-15.466
0.0001,-0.1,0.0084581,2.5,8.99054,-15.9485
0.0001,-0.1,0.0084581,3,9.23295,-16.3242
0.0001,-0.1,0.0084581,4,9.59792,-16.8865
0.0001,-0.1,0.0084581,5,9.86749,-17.2993
0.0001,-0.1,0.0084581,7.5,10.33,-18.0025
0.0001,-0.1,0.0084581,10,10.6391,-18.4688
0.0001,-0.1,0.0111811,0.5,5.88556,-10.8462
0.0001,-0.1,0.0111811,1,7.03521,-12.668
0.0001,-0.1,0.0111811,1.5,7.5995,-13.5422
0.0001,-0.1,0.0111811,2,7.96296,-14.0985
0.0001,-0.1,0.0111811,2.5,8.22753,-14.5001
0.0001,-0.1,0.0111811,3,8.43398,-14.8116
0.0001,-0.1,0.0111811,4,8.74366,-15.2757
0.0001,-0.1,0.0111811,5,8.97149,-15.6147
0.0001,-0.1,0.0111811,7.5,9.36065,-16.189
0.0001,-0.1,0.0111811,10,9.61942,-16.5676
0.0001,-0.1,0.0147808,0.5,5.50085,-10.0876
0.0001,-0.1,0.0147808,1,6.49653,-11.6227
0.0001,-0.1,0.0147808,1.5,6.97851,-12.3469
0.0001,-0.1,0.0147808,2,7.28661,-12.8035
0.0001,-0.1,0.0147808,2.5,7.50974,-13.131
0.0001,-0.1,0.0147808,3,7.68318,-13.3837
0.0001,-0.1,0.0147808,4,7.94221,-13.7583
0.0001,-0.1,0.0147808,5,8.13191,-14.0303
0.0001,-0.1,0.0147808,7.5,8.45426,-14.4881
0.0001,-0.1,0.0147808,10,8.6674,-14.7877
0.0001,-0.1,0.0195393,0.5,5.13505,-9.35703
0.0001,-0.1,0.0195393,1,5.98641,-10.6235
0.0001,-0.1,0.0195393,1.5,6.39195,-11.2088
0.0001,-0.1,0.0195393,2,6.64891,-11.5736
0.0001,-0.1,0.0195393,2.5,6.83388,-11.8333
0.0001,-0.1,0.0195393,3,6.977,-12.0325
0.0001,-0.1,0.0195393,4,7.18967,-12.3256
0.0001,-0.1,0.0195393,5,7.34458,-12.5371
0.0001,-0.1,0.0195393,7.5,7.60616,-12.8899
0.0001,-0.1,0.0195393,10,7.77795,-13.1186
0.0001,-0.1,0.0258298,0.5,4.78672,-8.64917
0.0001,-0.1,0.0258298,1,5.50236,-9.66332
0.0001,-0.1,0.0258298,1.5,5.83678,-10.1201
0.0001,-0.1,0.0258298,2,6.04644,-10.4007
0.0001,-0.1,0.0258298,2.5,6.19626,-10.5984
0.0001,-0.1,0.0258298,3,6.31153,-10.7489
0.0001,-0.1,0.0258298,4,6.48175,-10.9684
0.0001,-0.1,0.0258298,5,6.60492,-11.1251
0.0001,-0.1,0.0258298,7.5,6.81128,-11.3837
0.0001,-0.1,0.0258298,10,6.94567,-11.5493
0.0001,-0.1,0.0341455,0.5,4.45382,-7.95682
0.0001,-0.1,0.0341455,1,5.04124,-8.73382
0.0001,-0.1,0.0341455,1.5,5.30932,-9.07187
0.0001,-0.1,0.0341455,2,5.47515,-9.27535
0.0001,-0.1,0.0341455,2.5,5.59254,-9.41664
0.0001,-0.1,0.0341455,3,5.68222,-9.52295
0.0001,-0.1,0.0341455,4,5.81358,-9.67604
0.0001,-0.1,0.0341455,5,5.90781,-9.78383
0.0001,-0.1,0.0341455,7.5,6.06407,-9.9586
0.0001,-0.1,0.0341455,10,6.16469,-10.0683
0.0001,-0.1,0.0451383,0.5,4.13337,-7.27028
0.0001,-0.1,0.0451383,1,4.599,-7.82444
0.0001,-0.1,0.0451383,1.5,4.80496,-8.05319
0.0001,-0.1,0.0451383,2,4.9301,-8.1865
0.0001,-0.1,0.0451383,2.5,5.01756,-8.27686
0.0001,-0.1,0.0451383,3,5.08371,-8.34356
0.0001,-0.1,0.0451383,4,5.17952,-8.43744
0.0001,-0.1,0.0451383,5,5.24741,-8.50186
0.0001,-0.1,0.0451383,7.5,5.35832,-8.60296
0.0001,-0.1,0.0451383,10,5.42856,-8.66404
0.0001,-0.1,0.0596702,0.5,3.82103,-6.5766
0.0001,-0.1,0.0596702,1,4.17019,-6.92242
0.0001,-0.1,0.0596702,1.5,4.31786,-7.05162
0.0001,-0.1,0.0596702,2,4.40518,-7.12193
0.0001,-0.1,0.0596702,2.5,4.46503,-7.16703
0.0001,-0.1,0.0596702,3,4.50958,-7.19876
0.0001,-0.1,0.0596702,4,4.57295,-7.24082
0.0001,-0.1,0.0596702,5,4.61694,-7.26762
0.0001,-0.1,0.0596702,7.5,4.68702,-7.30546
0.0001,-0.1,0.0596702,10,4.73012,-7.32522
0.0001,-0.1,0.0788805,0.5,3.51035,-5.85901
0.0001,-0.1,0.0788805,1,3.74755,-6.013
0.0001,-0.1,0.0788805,1.5,3.84048,-6.0536
0.0001,-0.1,0.0788805,2,3.89277,-6.06886
0.0001,-0.1,0.0788805,2.5,3.92724,-6.07492
0.0001,-0.1,0.0788805,3,3.9521,-6.0768
0.0001,-0.1,0.0788805,4,3.98609,-6.07511
0.0001,-0.1,0.0788805,5,4.00862,-6.0705
0.0001,-0.1,0.0788805,7.5,4.04236,-6.05628
0.0001,-0.1,0.0788805,10,4.06155,-6.04253
0.0001,-0.1,0.104275,0.5,3.19181,-5.09716
0.0001,-0.1,0.104275,1,3.32139,-5.08083
0.0001,-0.1,0.104275,1.5,3.3633,-5.04629
0.0001,-0.1,0.104275,2,3.38348,-5.01608
0.0001,-0.1,0.104275,2.5,3.39499,-4.99047
0.0001,-0.1,0.104275,3,3.40216,-4.96847
0.0001,-0.1,0.104275,4,3.41005,-4.93233
0.0001,-0.1,0.104275,5,3.41372,-4.90343
0.0001,-0.1,0.104275,7.5,3.41592,-4.84976
0.0001,-0.1,0.104275,10,3.41463,-4.81122
0.0001,-0.1,0.137846,0.5,2.85172,-4.26978
0.0001,-0.1,0.137846,1,2.87919,-4.11398
0.0001,-0.1,0.137846,1.5,2.87471,-4.02205
0.0001,-0.1,0.137846,2,2.86636,-3.95852
0.0001,-0.1,0.137846,2.5,2.85779,-3.91039
0.0001,-0.1,0.137846,3,2.84971,-3.87182
0.0001,-0.1,0.137846,4,2.83539,-3.81243
0.0001,-0.1,0.137846,5,2.82325,-3.76763
0.0001,-0.1,0.137846,7.5,2.7995,-3.68915
0.0001,-0.1,0.137846,10,2.7817,-3.63571
0.0001,-0.1,0.182224,0.5,2.47121,-3.3626
0.0001,-0.1,0.182224,1,2.40603,-3.1129
0.0001,-0.1,0.182224,1.5,2.36194,-2.98735
0.0001,-0.1,0.182224,2,2.33011,-2.90607
0.0001,-0.1,0.182224,2.5,2.30541,-2.84682
0.0001,-0.1,0.182224,3,2.28531,-2.8006
0.0001,-0.1,0.182224,4,2.25391,-2.73134
0.0001,-0.1,0.182224,5,2.2299,-2.68049
0.0001,-0.1,0.182224,7.5,2.18726,-2.59393
0.0001,-0.1,0.182224,10,2.15784,-2.53663
0.0001,-0.1,0.24089,0.5,2.02695,-2.387
0.0001,-0.1,0.24089,1,1.88742,-2.107
0.0001,-0.1,0.24089,1.5,1.81477,-1.97781
0.0001,-0.1,0.24089,2,1.76707,-1.89746
0.0001,-0.1,0.24089,2.5,1.73203,-1.84037
0.0001,-0.1,0.24089,3,1.70455,-1.79663
0.0001,-0.1,0.24089,4,1.66314,-1.73235
0.0001,-0.1,0.24089,5,1.63259,-1.68606
0.0001,-0.1,0.24089,7.5,1.58032,-1.60893
0.0001,-0.1,0.24089,10,1.54555,-1.55899
0.0001,-0.1,0.318442,0.5,1.50745,-1.44541
0.0001,-0.1,0.318442,1,1.3322,-1.2094
0.0001,-0.1,0.318442,1.5,1.25016,-1.10736
0.0001,-0.1,0.318442,2,1.19886,-1.0459
0.0001,-0.1,0.318442,2.5,1.16229,-1.00313
0.0001,-0.1,0.318442,3,1.13421,-0.97086
0.0001,-0.1,0.318442,4,1.09287,-0.924185
0.0001,-0.1,0.318442,5,1.06305,-0.891125
0.0001,-0.1,0.318442,7.5,1.01328,-0.837048
0.0001,-0.1,0.318442,10,0.981011,-0.802691
0.0001,-0.1,0.35235,0.5,1.30088,-1.12442
0.0001,-0.1,0.35235,1,1.12296,-0.919355
0.0001,-0.1,0.35235,1.5,1.04238,-0.8328
0.0001,-0.1,0.35235,2,0.992781,-0.78129
0.0001,-0.1,0.35235,2.5,0.957786,-0.745722
0.0001,-0.1,0.35235,3,0.931119,-0.719034
0.0001,-0.1,0.35235,4,0.892157,-0.680674
0.0001,-0.1,0.35235,5,0.864276,-0.653673
0.0001,-0.1,0.35235,7.5,0.818162,-0.609814
0.0001,-0.1,0.35235,10,0.788534,-0.582147
0.0001,-0.1,0.386259,0.5,1.10631,-0.857177
0.0001,-0.1,0.386259,1,0.932922,-0.685289
0.0001,-0.1,0.386259,1.5,0.856622,-0.614312
0.0001,-0.1,0.386259,2,0.810314,-0.572535
0.0001,-0.1,0.386259,2.5,0.777939,-0.543893
0.0001,-0.1,0.386259,3,0.753432,-0.522515
0.0001,-0.1,0.386259,4,0.717879,-0.491958
0.0001,-0.1,0.386259,5,0.692622,-0.470573
0.0001,-0.1,0.386259,7.5,0.651181,-0.436055
0.0001,-0.1,0.386259,10,0.624776,-0.414423
0.0001,-0.1,0.420167,0.5,0.924957,-0.639102
0.0001,-0.1,0.420167,1,0.76194,-0.499849
0.0001,-0.1,0.420167,1.5,0.692057,-0.443511
0.0001,-0.1,0.420167,2,0.650189,-0.410689
0.0001,-0.1,0.420167,2.5,0.621163,-0.388337
0.0001,-0.1,0.420167,3,0.599326,-0.371734
0.0001,-0.1,0.420167,4,0.567852,-0.348126
0.0001,-0.1,0.420167,5,0.545642,-0.331691
0.0001,-0.1,0.420167,7.5,0.509472,-0.305318
0.0001,-0.1,0.420167,10,0.486603,-0.288889
0.0001,-0.1,0.454075,0.5,0.758247,-0.465075
0.0001,-0.1,0.454075,1,0.610086,-0.355976
0.0001,-0.1,0.454075,1.5,0.548103,-0.312683
0.0001,-0.1,0.454075,2,0.511418,-0.287704
0.0001,-0.1,0.454075,2.5,0.486185,-0.270799
0.0001,-0.1,0.454075,3,0.46731,-0.2583
0.0001,-0.1,0.454075,4,0.440274,-0.240614
0.0001,-0.1,0.454075,5,0.421314,-0.228362
0.0001,-0.1,0.454075,7.5,0.390653,-0.208809
0.0001,-0.1,0.454075,10,0.371406,-0.196695
0.0001,-0.1,0.487984,0.5,0.607607,-0.329553
0.0001,-0.1,0.487984,1,0.477415,-0.246925
0.0001,-0.1,0.487984,1.5,0.424202,-0.214737
0.0001,-0.1,0.487984,2,0.393069,-0.196335
0.0001,-0.1,0.487984,2.5,0.371817,-0.183956
0.0001,-0.1,0.487984,3,0.356007,-0.174843
0.0001,-0.1,0.487984,4,0.333492,-0.162007
0.0001,-0.1,0.487984,5,0.317798,-0.153157
0.0001,-0.1,0.487984,7.5,0.292584,-0.139104
0.0001,-0.1,0.487984,10,0.276862,-0.130442
0.0001,-0.1,0.521892,0.5,0.474272,-0.226793
