xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000128556,0.5,19.2945,11.789
0.0001,-0.1,0.000128556,1,26.2935,16.1554
0.0001,-0.1,0.000128556,1.5,30.1737,18.5678
0.0001,-0.1,0.000128556,2,32.8397,20.2219
0.0001,-0.1,0.000128556,2.5,34.8664,21.4776
0.0001,-0.1,0.000128556,3,36.4999,22.4886
0.0001,-0.1,0.000128556,4,39.0384,24.0579
0.0001,-0.1,0.000128556,5,40.9758,25.254
0.0001,-0.1,0.000128556,7.5,44.4278,27.382
0.0001,-0.1,0.000128556,10,46.8266,28.8585
0.0001,-0.1,0.000169943,0.5,18.2627,11.1995
0.0001,-0.1,0.000169943,1,24.7248,15.2356
0.0001,-0.1,0.000169943,1.5,28.2891,17.4528
0.0001,-0.1,0.000169943,2,30.7314,18.9687
0.0001,-0.1,0.000169943,2.5,32.5848,20.1172
0.0001,-0.1,0.000169943,3,34.0766,21.0405
0.0001,-0.1,0.000169943,4,36.3917,22.4714
0.0001,-0.1,0.000169943,5,38.156,23.5604
0.0001,-0.1,0.000169943,7.5,41.2943,25.4941
0.0001,-0.1,0.000169943,10,43.4714,26.8333
0.0001,-0.1,0.000224655,0.5,17.2731,10.6326
0.0001,-0.1,0.000224655,1,23.2291,14.3562
0.0001,-0.1,0.000224655,1.5,26.4969,16.3898
0.0001,-0.1,0.000224655,2,28.7299,17.7759
0.0001,-0.1,0.000224655,2.5,30.4213,18.8239
0.0001,-0.1,0.000224655,3,31.781,19.6652
0.0001,-0.1,0.000224655,4,33.8878,20.9669
0.0001,-0.1,0.000224655,5,35.4909,21.9558
0.0001,-0.1,0.000224655,7.5,38.3376,23.7087
0.0001,-0.1,0.000224655,10,40.309,24.9202
0.0001,-0.1,0.00029698,0.5,16.3244,10.0877
0.0001,-0.1,0.00029698,1,21.8036,13.5158
0.0001,-0.1,0.00029698,1.5,24.7935,15.3767
0.0001,-0.1,0.00029698,2,26.8308,16.6411
0.0001,-0.1,0.00029698,2.5,28.3711,17.5951
0.0001,-0.1,0.00029698,3,29.6075,18.3597
0.0001,-0.1,0.00029698,4,31.5204,19.5408
0.0001,-0.1,0.00029698,5,32.9738,20.4365
0.0001,-0.1,0.00029698,7.5,35.5498,22.0211
0.0001,-0.1,0.00029698,10,37.3305,23.114
0.0001,-0.1,0.00039259,0.5,15.4153,9.56404
0.0001,-0.1,0.00039259,1,20.4459,12.713
0.0001,-0.1,0.00039259,1.5,23.1755,14.4117
0.0001,-0.1,0.00039259,2,25.03,15.562
0.0001,-0.1,0.00039259,2.5,26.4294,16.4281
0.0001,-0.1,0.00039259,3,27.551,17.1212
0.0001,-0.1,0.00039259,4,29.2837,18.1898
0.0001,-0.1,0.00039259,5,30.5979,18.9988
0.0001,-0.1,0.00039259,7.5,32.9231,20.427
0.0001,-0.1,0.00039259,10,34.5273,21.41
0.0001,-0.1,0.000518981,0.5,14.5445,9.06095
0.0001,-0.1,0.000518981,1,19.1533,11.9464
0.0001,-0.1,0.000518981,1.5,21.6395,13.4928
0.0001,-0.1,0.000518981,2,23.3235,14.5365
0.0001,-0.1,0.000518981,2.5,24.5916,15.3204
0.0001,-0.1,0.000518981,3,25.6065,15.9467
0.0001,-0.1,0.000518981,4,27.1717,16.9107
0.0001,-0.1,0.000518981,5,28.357,17.6391
0.0001,-0.1,0.000518981,7.5,30.4499,18.9221
0.0001,-0.1,0.000518981,10,31.8909,19.8033
0.0001,-0.1,0.000686062,0.5,13.711,8.57778
0.0001,-0.1,0.000686062,1,17.9235,11.2147
0.0001,-0.1,0.000686062,1.5,20.1823,12.6183
0.0001,-0.1,0.000686062,2,21.7074,13.5622
0.0001,-0.1,0.000686062,2.5,22.8534,14.2696
0.0001,-0.1,0.000686062,3,23.7692,14.8337
0.0001,-0.1,0.000686062,4,25.1791,15.7003
0.0001,-0.1,0.000686062,5,26.2449,16.3538
0.0001,-0.1,0.000686062,7.5,28.123,17.5024
0.0001,-0.1,0.000686062,10,29.4135,18.2894
0.0001,-0.1,0.000906934,0.5,12.9134,8.11386
0.0001,-0.1,0.000906934,1,16.7541,10.5164
0.0001,-0.1,0.000906934,1.5,18.8006,11.7863
0.0001,-0.1,0.000906934,2,20.1779,12.637
0.0001,-0.1,0.000906934,2.5,21.2105,13.2731
0.0001,-0.1,0.000906934,3,22.0343,13.7793
0.0001,-0.1,0.000906934,4,23.3004,14.5555
0.0001,-0.1,0.000906934,5,24.2557,15.1396
0.0001,-0.1,0.000906934,7.5,25.9356,16.1639
0.0001,-0.1,0.000906934,10,27.0874,16.8639
0.0001,-0.1,0.00119891,0.5,12.1507,7.66852
0.0001,-0.1,0.00119891,1,15.6429,9.8504
0.0001,-0.1,0.00119891,1.5,17.4916,10.995
0.0001,-0.1,0.00119891,2,18.7314,11.759
0.0001,-0.1,0.00119891,2.5,19.6588,12.3285
0.0001,-0.1,0.00119891,3,20.3974,12.7811
0.0001,-0.1,0.00119891,4,21.5305,13.4734
0.0001,-0.1,0.00119891,5,22.3837,13.9932
0.0001,-0.1,0.00119891,7.5,23.8809,14.9025
0.0001,-0.1,0.00119891,10,24.9051,15.5224
0.0001,-0.1,0.00158489,0.5,11.4218,7.2411
0.0001,-0.1,0.00158489,1,14.5877,9.21527
0.0001,-0.1,0.00158489,1.5,16.2521,10.2429
0.0001,-0.1,0.00158489,2,17.3643,10.9259
0.0001,-0.1,0.00158489,2.5,18.1943,11.4337
0.0001,-0.1,0.00158489,3,18.8542,11.8363
0.0001,-0.1,0.00158489,4,19.8643,12.4509
0.0001,-0.1,0.00158489,5,20.6235,12.9114
0.0001,-0.1,0.00158489,7.5,21.9526,13.7147
0.0001,-0.1,0.00158489,10,22.8595,14.2608
0.0001,-0.1,0.00209514,0.5,10.7256,6.83091
0.0001,-0.1,0.00209514,1,13.5863,8.60974
0.0001,-0.1,0.00209514,1.5,15.0795,9.52802
0.0001,-0.1,0.00209514,2,16.0734,10.1357
0.0001,-0.1,0.00209514,2.5,16.8133,10.5862
0.0001,-0.1,0.00209514,3,17.4004,10.9426
0.0001,-0.1,0.00209514,4,18.2972,11.4854
0.0001,-0.1,0.00209514,5,18.9698,11.8911
0.0001,-0.1,0.00209514,7.5,20.1444,12.5967
0.0001,-0.1,0.00209514,10,20.9439,13.075
0.0001,-0.1,0.00276965,0.5,10.0612,6.43725
0.0001,-0.1,0.00276965,1,12.6367,8.03249
0.0001,-0.1,0.00276965,1.5,13.9709,8.84878
0.0001,-0.1,0.00276965,2,14.8554,9.38645
0.0001,-0.1,0.00276965,2.5,15.512,9.78384
0.0001,-0.1,0.00276965,3,16.0319,10.0975
0.0001,-0.1,0.00276965,4,16.8245,10.5739
0.0001,-0.1,0.00276965,5,17.4176,10.929
0.0001,-0.1,0.00276965,7.5,18.4505,11.5449
0.0001,-0.1,0.00276965,10,19.1516,11.9611
0.0001,-0.1,0.00366131,0.5,9.42752,6.05937
0.0001,-0.1,0.00366131,1,11.737,7.48219
0.0001,-0.1,0.00366131,1.5,12.9236,8.20342
0.0001,-0.1,0.00366131,2,13.7069,8.67611
0.0001,-0.1,0.00366131,2.5,14.2868,9.02429
0.0001,-0.1,0.00366131,3,14.7449,9.29842
0.0001,-0.1,0.00366131,4,15.4417,9.71367
0.0001,-0.1,0.00366131,5,15.9618,10.0223
0.0001,-0.1,0.00366131,7.5,16.865,10.5559
0.0001,-0.1,0.00366131,10,17.4763,10.9151
0.0001,-0.1,0.00484003,0.5,8.82369,5.69648
0.0001,-0.1,0.00484003,1,10.8851,6.95745
0.0001,-0.1,0.00484003,1.5,11.9351,7.59017
0.0001,-0.1,0.00484003,2,12.6251,8.00261
0.0001,-0.1,0.00484003,2.5,13.1342,8.30531
0.0001,-0.1,0.00484003,3,13.5356,8.54298
0.0001,-0.1,0.00484003,4,14.1444,8.90191
0.0001,-0.1,0.00484003,5,14.5977,9.16788
0.0001,-0.1,0.00484003,7.5,15.3824,9.62599
0.0001,-0.1,0.00484003,10,15.9119,9.93332
0.0001,-0.1,0.00639824,0.5,8.24877,5.34774
0.0001,-0.1,0.00639824,1,10.0792,6.45685
0.0001,-0.1,0.00639824,1.5,11.0029,7.00723
0.0001,-0.1,0.00639824,2,11.6068,7.36387
0.0001,-0.1,0.00639824,2.5,12.0509,7.62458
0.0001,-0.1,0.00639824,3,12.4001,7.82866
0.0001,-0.1,0.00639824,4,12.9285,8.13586
0.0001,-0.1,0.00639824,5,13.3206,8.36271
0.0001,-0.1,0.00639824,7.5,13.9974,8.75189
0.0001,-0.1,0.00639824,10,14.4523,9.01188
0.0001,-0.1,0.0084581,0.5,7.70186,5.01218
0.0001,-0.1,0.0084581,1,9.31732,5.97885
0.0001,-0.1,0.0084581,1.5,10.1243,6.4527
0.0001,-0.1,0.0084581,2,10.649,6.75775
0.0001,-0.1,0.0084581,2.5,11.0334,6.97974
0.0001,-0.1,0.0084581,3,11.3349,7.15294
0.0001,-0.1,0.0084581,4,11.7896,7.41268
0.0001,-0.1,0.0084581,5,12.126,7.60375
0.0001,-0.1,0.0084581,7.5,12.7044,7.93009
0.0001,-0.1,0.0084581,10,13.0918,8.14706
0.0001,-0.1,0.0111811,0.5,7.18207,4.68872
0.0001,-0.1,0.0111811,1,8.59763,5.52179
0.0001,-0.1,0.0111811,1.5,9.29682,5.9246
0.0001,-0.1,0.0111811,2,9.74873,6.18198
0.0001,-0.1,0.0111811,2.5,10.0785,6.36835
0.0001,-0.1,0.0111811,3,10.3363,6.51319
0.0001,-0.1,0.0111811,4,10.7237,6.72951
0.0001,-0.1,0.0111811,5,11.0093,6.88792
0.0001,-0.1,0.0111811,7.5,11.4985,7.15711
0.0001,-0.1,0.0111811,10,11.8246,7.33511
0.0001,-0.1,0.0147808,0.5,6.68843,4.37608
0.0001,-0.1,0.0147808,1,7.91813,5.08387
0.0001,-0.1,0.0147808,1.5,8.51794,5.42076
0.0001,-0.1,0.0147808,2,8.90296,5.63418
0.0001,-0.1,0.0147808,2.5,9.18261,5.78782
0.0001,-0.1,0.0147808,3,9.40045,5.90669
0.0001,-0.1,0.0147808,4,9.7266,6.08335
0.0001,-0.1,0.0147808,5,9.96608,6.21205
0.0001,-0.1,0.0147808,7.5,10.3742,6.42943
0.0001,-0.1,0.0147808,10,10.645,6.57224
0.0001,-0.1,0.0195393,0.5,6.21993,4.07272
0.0001,-0.1,0.0195393,1,7.27675,4.663
0.0001,-0.1,0.0195393,1.5,7.78487,4.9388
0.0001,-0.1,0.0195393,2,8.1085,5.11176
0.0001,-0.1,0.0195393,2.5,8.34229,5.23539
0.0001,-0.1,0.0195393,3,8.52367,5.33053
0.0001,-0.1,0.0195393,4,8.794,5.47109
0.0001,-0.1,0.0195393,5,8.99155,5.57284
0.0001,-0.1,0.0195393,7.5,9.32637,5.74343
0.0001,-0.1,0.0195393,10,9.54715,5.8546
0.0001,-0.1,0.0258298,0.5,5.77535,3.77679
0.0001,-0.1,0.0258298,1,6.67115,4.25682
0.0001,-0.1,0.0258298,1.5,7.09467,4.47611
